s_account_uid,from_nick,Date,Status,Kit
76561198126416023,Illidan,2026-01-05 00:03:53,0,kit start2
76561198126416023,Illidan,2024-04-22 16:18:58,0,dailyreward
76561198126416023,Illidan,2026-01-06 16:20:47,0,kit start
